Nama Rumah Sakit,Kode Rumah Sakit,Jenis Rumah Sakit,URL,Tanggal Registrasi,Alamat,Kab/Kota,Kodepos,Telp,Kelas Rumah Sakit,Direktur,Penyelenggara,Update,Fax,Email,Humas,Website,Dokter Spesialis Anak,Dokter Spesialis Obstetri dan Ginekologi,Dokter Spesialis Penyakit Dalam,Dokter Spesialis Bedah,Dokter Spesialis Radiologi,Dokter Spesialis Rehabilitasi Medik,Dokter Spesialis Anestesiologi dan Terapi Intensif,Dokter Spesialis Jantung dan Pembuluh Darah,Dokter Spesialis Mata,Dokter Spesialis Telinga Hidung Tenggorokan,Dokter Spesialis Kedokteran Jiwa atau Psikiatri,Dokter Umum,Dokter GIGI,Dokter Spesialis GIGI,Perawat,Bidan,Farmasi,Tenaga Kesehatan Lainnya,Kamar VVIP,Kamar VIP,Kamar Kelas Satu,Kamar Kelas Dua,Kamar Kelas Tiga,Tenaga Kerja Non Kesehatan,Luas Tanah,Luas Bangunan,No Surat Izin,Tanggal Surat Izin,Surat Izin dari,Sifat Surat Izin
RSU Immanuel Bandung,3273052,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bandung/rsu-immanuel-bandung.html,  01/01/2015, Jl. Kopo 161 Bandung, Kota Bandung, 40234, 022-5201656-72, B," dr. Bina Miguna.,MM-BAT", Organisasi Protestan, 28/12/2015, 022-5224219, info@rsimmanuel.com, 022-5200358, www.rsimmanuel.com, 8,1, 14, 8, 2, 1, 6, 1, 6, 5,  5, 45, 4, 4, 459, 35, 10, 65, 3 Ruang, 29 Ruang, 71 Ruang, 90 Ruang, 135 Ruang, 366, 53.270 m2," 24.377,21 m2", 445.1 /kep.35/I.25.b/IPRSU-B-BPPT/2014, 27/03/2014, DINKES KOTA BANDUNG, Perpanjang
RSIA Cahaya Medika,3216407S,RSAB,https://medicalclinic.id/rumah-sakit/daerah/bekasi/rsia-cahaya-medika.html,  09/12/2013," Kp. Kebon RT 02/01, Tambun", Bekasi, 17510, 021-88370649, Belum ditetapkan, dr. Desmon Roza, Perusahaan, 28/12/2015, 021-88370649, cahayamedika16@yahoo.co.id, -, -, 1,-, 1, 1,-,-,-,-,-,-,  0, 4, 1,-, 5, 20, 2,-, Ruang, 2 Ruang, 5 Ruang, 10 Ruang, 20 Ruang, 5, 1050 m2, 786 m2, 503/20/DINKES/RSIA/2012, 09/11/2012, Kadinkes KAb. Bekasi, Perpanjang
Rumkit Tk IV Sariningsih Bandung,3273176,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bandung/rumkit-tk-iv-sariningsih-bandung.html,  00/00/0000, Jl. LL RE Martadinata 9 Bandung, Kota Bandung, 022, 4204257, D," dr. Muhammad Muad Marzuki,Sp.PD", TNI AD, 24/12/2015, 4023755, rs.sariningsih@yahoo.co.id, -, -, 1,-,-, 1,-,-,-,-,-,-,  0, 6, 8, 8, 32, 16, 5,-, 3 Ruang, 6 Ruang, 14 Ruang, 41 Ruang, 33 Ruang, 32, 6534 m2, - m2, 445/8344/DINKES/07-SPRS/IX/12, 25/09/2012, Dinas Kesehatan Kota Bandung,-
RSIA Nasana Pura,7271130S,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kota-palu/rsia-nasana-pura.html,  10/04/2014," Jl. Jend. H. M. Soeharto no. 10, Petobo", Kota Palu, 94232, 0451-488122, C," Edwin M. Sampeliling, MARS", Swasta/Lainnya, 22/12/2015, 0451-483065, rs.nasanapura@gmail.com, 085256444681, -, 2,-,-,-,-,-, 4,-,-,-,  0, 3,-,-, 10, 6, 1, 1, 1 Ruang, 4 Ruang, 12 Ruang, 4 Ruang, 10 Ruang, 9, 1510 m2, 870 m2, 62/23.7/BP2T/XI/2015, 12/11/2015, Dinas Kesehatan Pemerintah Kota Palu,-
RSU Bahagia Medan,1275826,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-medan/rsu-bahagia-medan.html,  05/01/2015, Jl. Bahagia 85 Ds.Teladan, Kota Medan, 20217, (061) 7360947, Belum ditetapkan," dr. Ilvira Dewita, M.KM", Organisasi Sosial, 18/12/2015, (061) 7332300, bahagiars@gmail.com, 085360157818, -, 1,-, 1, 1,-,-,-,-,-,-,  0, 6,-,-,-,-, 1,-, Ruang, Ruang, Ruang, Ruang, Ruang,-, 1157 m2, 1030 (2 lantai) m2, 001/1/RSB/2014, 24/01/2014, Kepala Dinas Kesehatan Kota Medan, Perpanjang
RSIA Budiasih,3604035,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kota-serang/rsia-budiasih.html,  18/12/2015, Jl. KH Sohari No.39 Serang, Kota Serang, 42118, 0254-212484, C," Dr. H Asep Hidayat Sugiri, MARS", Organisasi Sosial, 18/12/2015, 0254-212484, -, 0254-212484, www.rsiabudiasih.co.id, 6,-, 1, 1, 1,-, 4, 1, 3, 1,  0, 8, 5,-, 35, 25, 2, 12, 1 Ruang, 12 Ruang, 14 Ruang, 16 Ruang, 25 Ruang, 68, 8.348 m2, 7.995 m2, 800/2952/Kes/Dinkes, 12/08/2011, Dinkes Kota Serang, Perpanjang
RSU Mulyasari,3175075,RSU,https://medicalclinic.id/rumah-sakit/daerah/jakarta-utara/rsu-mulyasari.html,  00/00/0000," Jl. Raya Plumpung Semper No.19 RT.006/RW.015, Jakarta Utara", Jakarta Utara, 14260, 021 43931111, C," dr. Sutrishna Radiwinata, MBA", Swasta/Lainnya, 16/12/2015, 021 43934369, info.rsmulyasari@gmail.com, 43931111 (187), -, 2,-, 2, 2, 1, 1, 2, 1, 1, 1,  0, 6, 3, 2, 55, 14, 2, 6, 3 Ruang, 3 Ruang, 12 Ruang, 32 Ruang, 34 Ruang, 84, 1120 m2, 3000 m2, 610/2011, 18/01/2011, Dinas Kesehatan Provinsi DKI Jakarta, Tetap
RS  Islam Samarinda,6472085,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-samarinda/rs--islam-samarinda.html,  31/05/2014," Jl. Gurami No.18,Samarinda", Kota Samarinda, 75115, 0541-741510, C," dr. H.M.Sadik Sahil,M.Kes", Organisasi Islam, 14/12/2015, 0541-731856, rsisamarinda@yahoo.co.id, 0541 741510, -, 3,-, 4, 8, 3, 1, 2, 2, 3, 2,  1, 11, 1, 1, 127, 16, 2, 11, 6 Ruang, 24 Ruang, 24 Ruang, 56 Ruang, 38 Ruang, 127, 18687 m2, 5824 m2, YM.02.04.2.2.1.1680, 15/11/2011, Kemenkes, Perpanjang
RSU Permata Cibubur,3216329,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bekasi/rsu-permata-cibubur.html,  31/05/2012," Jl. Alternatif Cibubur - Cileungsi No. 6A, Kec. Jati Sampurna, Bekasi", Kota Bekasi, -, 8458806, C," Dr. Asdineri Ruslim, Sp.Og", Swasta/Lainnya, 11/12/2015, 84592146, -, -, -, 14,5, 10, 2, 2, 4, 3,-, 4, 4,  0, 17, 3,-,-,-,-,-, 6 Ruang, 50 Ruang, 20 Ruang, 25 Ruang, 17 Ruang,-, 7.380 m2, 7.110 m2, 445.1 /1309/YANKES/ V/ 2012, 31/05/2012, Walikota Bekasi,-
RS Griya Husada Bakti,7471081,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-kendari/rs-griya-husada-bakti.html,  16/01/2014, Jl. Sao-sao No. 248 Kendari, Kota KENDARI, 93117, 0401-3192010, D, dr. H. Djumrin, Organisasi Sosial, 11/12/2015, -, griyausada_dewata@yahoo.com, 081341816664, -,-,-, 1, 3,-,-, 2,-, 1,-,  0, 6, 1,-, 34, 5, 2, 7, Ruang, 6 Ruang, 10 Ruang, 8 Ruang, 32 Ruang, 17, 4610 m2, 1480 m2, 56/izin/I/2012/001, 09/01/2012, Walikota Kendari, Sementara
Rumah Sakit Aliyah,7471005S,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-kendari/rumah-sakit-aliyah.html,  20/03/2013," Jln.Bunggasi Rahandouna, Poasia Kendari", Kota KENDARI, 93232, 0401-3030999, Belum ditetapkan, dr.Jeanida Mauliddina M.Ked(Ped)Sp.A, Swasta/Lainnya, 11/12/2015,-,-, 0401-3030999, -, 1,-,-,-,-,-,-,-,-,-,  0,-,-,-, 8, 16, 2, 2, Ruang, 6 Ruang, 6 Ruang, 12 Ruang, 20 Ruang, 8, 675 m2, 825 m2, 56/IZN/II/2012/002, 00/00/0000, walikota kendari,-
RSUD Lembang,3217004,RSU,https://medicalclinic.id/rumah-sakit/daerah/bandung-barat/rsud-lembang.html,  08/12/2015," JL. RAYA LEMBANG KM.11,4 NO.11 DESA GUDANG KAHURIPAN KECAMATAN LEMBANG", Bandung Barat, 40391, (022) 2786879, D," dr ONNI HABIE,MARS", Pemkab, 11/12/2015, (022) 2785675, rsudlembang@gmail.com, (022) 2786879,-, 2,-, 1, 1, 1,-, 1,-,-, 1,  0, 10, 2,-,-,-,-,-, Ruang, Ruang, 8 Ruang, 16 Ruang, 24 Ruang, 56, 6663 m2," 3352,09 m2", 440/002/XII/RS.Operasional/Dinkes, 08/12/2015, Dinkes Kabupaten Bandung Barat, Tetap
RS Kurnia Serang,3604047,RSU,https://medicalclinic.id/rumah-sakit/daerah/serang/rs-kurnia-serang.html,  04/11/2014, Jl. Raya Cilegon KM 8 Kramatwatu, Serang, 42161, 0254-232648, C," dr. Wahyu Hapsari, MARS", Swasta/Lainnya, 08/12/2015, 0254-8235050, info2@rskurnia.co.id, 0254-232648, www.rskurnia.co.id, 2,-, 2, 1, 1,-, 1,-,-, 1,  0, 10, 2,-, 21, 22, 4, 10, Ruang, 18 Ruang, 28 Ruang, 48 Ruang, 36 Ruang, 40, 6898 m2, 5478 m2, 970/4641/Dinkes/RS/001/PSDK/XI/2015, 17/11/2015, Kepala Dinas Kesehatan Kabupaten Serang, Tetap
RSU  ARO,3375074S,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-pekalongan/rsu--aro.html,  18/11/2013, Jl. dr. Soetomo Gamer Pekalongan, Kota Pekalongan, 51123, 0285-4416443, Belum ditetapkan, dr. Broto Rahardjo, Swasta/Lainnya, 07/12/2015, 0285-4416447, rsu_bedaharo@yahoo.co.id, 085741908287, -, 1,-, 1, 6, 1,-, 2,-,-, 1,  0, 8, 1,-, 25, 2, 1, 2, Ruang, 7 Ruang, 2 Ruang, 12 Ruang, 16 Ruang, 20, 1500 m2, 2500 m2, 445/029 Tahun 2012, 00/00/0000, Walikota Pekalongan, Tetap
RSU Indosehat 2003,3213046,RSU,https://medicalclinic.id/rumah-sakit/daerah/subang/rsu-indosehat-2003.html,  13/01/2015, Jl. Raya Subang KM 28 Cipendeuy Subang, Subang, 41272, 0260-713324, D," dr. Abdul Hanan R. Korompot, MH.Kes,MARS", Swasta/Lainnya, 01/12/2015, 0260-713265, rsindosehat2003@gmail.com, 0260-713324, -, 1,-, 1, 1, 1,-, 1,-,-, 1,  0, 4, 1,-, 20, 8, 7, 7, Ruang, 2 Ruang, 2 Ruang, 9 Ruang, 30 Ruang, 44, 3139 m2, 1578 m2, 445.9/69/Dinkes-RS/XII/2013, 22/12/2013, Dinkes Kab. Subang, Tetap
RSIA Tiara,3603146,RSIA,https://medicalclinic.id/rumah-sakit/daerah/tangerang/rsia-tiara.html,  09/09/2011, Jl. Raya serang KM 14.5 No.1, Tangerang, 15710, 021-5961999, C," drg.Drajat Mulya HF, MARS", Perusahaan, 30/11/2015, 021-5960699, RSIATIARA@YAHOO.CO.ID, 021-59401999, -, 3,-, 2, 2,-,-, 2,-,-,-,  0, 7, 3,-, 10, 6, 1,-, 1 Ruang, 2 Ruang, 9 Ruang, 8 Ruang, 11 Ruang, 30, 1356 m2," 1213,5 m2", 445/T/6326-DINKES/2011, 13/10/2011, DINKES, Perpanjang
RSU  Muhammadiyah,3523052,RSU,https://medicalclinic.id/rumah-sakit/daerah/tuban/rsu--muhammadiyah.html,  31/05/2011, Jl. Diponegoro No.1 Tuban, Tuban, 62313," 0356 321334,", C, dr.Indah Kusuma Dewi, Organisasi Sosial, 28/11/2015, 0356-323610, rsab_muh_tbn@ymail.com, 081230739838, -, 2,-,-,-, 1,-, 1,-,-,-,  0, 6, 1,-,-,-, 1,-, Ruang, 7 Ruang, 7 Ruang, 32 Ruang, 17 Ruang,-, 2.330 m2, 2.850 m2, 440/RS.1/414.051/2015, 24/11/2015, BUPATI, Tetap
RSIA Mutiara Aroepala,7371420,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kota-makassar/rsia-mutiara-aroepala.html,  28/10/2015," Jl. Tamangapa Raya Komp. Grand Aroepala Blok A/No.1 RT 006 RW 002, Kel. Tama More ...", Kota Makassar, 90235, 0411495456, C, dr. Faarina Novirza, Swasta/Lainnya, 28/11/2015,-, rsiamutiaraaroepala@yahoo.com,-,-, 2,-, 1, 1,-,-, 1,-,-,-,  0, 4,-,-,-,-, 1,-, Ruang, 1 Ruang, Ruang, Ruang, Ruang, 2, 1054 m2, 610 m2, 503/0015/BPTPM/KES/VIII/2015, 07/08/2015, BADAN PERIJINAN TERPADU DAN PENANAMAN MO, Perpanjang
RSU Pekanbaru Medical Center,1471382,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-pekanbaru/rsu-pekanbaru-medical-center.html,  27/12/2013," Jl. Lembaga Pemasyarakatan No.25, Gobah Pekanbaru", Kota Pekanbaru, 28131, 0761848100, B," DR. Hj. Zurtias Suheimi, MARS", Swasta/Lainnya, 26/11/2015, 0761859510, rspmc.pku@gmail.com, 0761848100, -, 2,-, 3, 2, 1, 1, 2, 2, 1, 3,  0, 8, 1,-, 69, 14, 1, 27, 5 Ruang, 22 Ruang, 12 Ruang, 15 Ruang, 28 Ruang, 76, - m2, - m2, HK.07.061/III/1048/10, 24/02/2010, KEPUTUSAN MENRI KES RI, Tetap
RSIA Zainab,1471387,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kota-pekanbaru/rsia-zainab.html,  20/05/2013, Jln. Ronggo warsito I No 01, Kota Pekanbaru, -, 0761-24000/2544, C, dr. Fajar Agung Prayogo, Perusahaan, 26/11/2015, 0761-859448, rszainab@yahoo.com, 0761-859448, www.rszainab.com, 5,-, 1, 2, 1, 1, 2,-,-,-,  0, 9, 1,-, 50, 40, 2, 10, 3 Ruang, 7 Ruang, 11 Ruang, 20 Ruang, 31 Ruang, 106, - m2, - m2, 116, 16/10/2012, Pemkot, Sementara
RS Kertha Usadha,5108031,RSU,https://medicalclinic.id/rumah-sakit/daerah/buleleng/rs-kertha-usadha.html,  25/11/2015, Jl. Cendrawasih No.5-7 Singaraja, Buleleng, 80116, 0362-26277, C, dr. Gede Handra PK, Organisasi Hindu, 25/11/2015, 0362-22741, info@kerthausada.com, 0362-26278, -, 4,-, 3, 2, 1,-, 3, 1, 2, 1,  1, 10, 1,-, 83, 33, 2, 22, 3 Ruang, 23 Ruang, 20 Ruang, 20 Ruang, 43 Ruang, 8, 3550 m2, 5413.5 m2, HK.07.06/III/433/09, 16/02/2009, Menkes RI, Tetap
RSU MM Indramayu,3212054,RSU,https://medicalclinic.id/rumah-sakit/daerah/indramayu/rsu-mm-indramayu.html,  18/08/2015, JL. LETJEND SUPRAPTO NO. 292 KEPANDEAN INDRAMAYU, Indramayu, 45214, 0231 277632, D," drg. Lusdi Sjafran Setel, MKes", Perusahaan, 24/11/2015, 0234276204, rumahsakit.mm@gmail.com, 081315780781, www.rsmm-indramayu.com, 1,-, 1, 2,-,-,-,-, 1,-,  0, 3, 1,-,-,-, 1,-, Ruang, 10 Ruang, 12 Ruang, 12 Ruang, 21 Ruang, 15, 1500 m2, 3500 m2, 505.03/RS/2015, 14/08/2015, Kepala Dinas Kesehatan Kab. Indramayu, Tetap
RSIA Restu Bunda,1871439,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kota-bandar-lampung/rsia-restu-bunda.html,  13/03/2012," Jl. KH. Hasyim Ashari No.73, Teluk Betung", Kota Bandar Lampung, 35221, 484185, C," dr. Hi. Ruskandi, Sp.A", Perusahaan, 23/11/2015, 482432, restubunda.rsia@yahoo.co.id, 484185,-, 2,-,-,-,-,-, 1,-,-,-,  0, 5,-,-, 6, 18, 1, 5, 1 Ruang, 2 Ruang, 3 Ruang, 7 Ruang, 18 Ruang, 21, 1645 m2, 947 m2, 847/IV.41/HK/2013, 04/11/2013, Walikota Bandar Lampung, Tetap
RSU Bina Kasih,1471161,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-pekanbaru/rsu-bina-kasih.html,  14/01/2013, Jl. Naryo Atmajan 27 Ambarawa, Semarang, 50614, (0298) 591280, D," Dr. Ahmad Sulaiman Lubis, Sp.U", Organisasi Sosial, 25/06/2016, (0298) 591211, rsubinakasih@yahoo.co.id, (0298) 591 281, -, 2,-, 2, 1, 1, 1, 1,-,-, 1,  0, 4, 1,-, 32, 6, 1, 12, Ruang, 11 Ruang, 11 Ruang, 8 Ruang, 20 Ruang, 34, 6.971 m2, 5.580 m2, 445/Ops.RS-01/2015, 17/06/2015, Bupati Semarang, Tetap
RSU Budi Lestari,3275050,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bekasi/rsu-budi-lestari.html,  20/11/2015, Jl. KH. Noer Ali No. 2 Kayu Ringin Bekasi Selatan - Bekasi, Kota Bekasi, 17144, 8842336, Belum ditetapkan, dr. Dian Pitaloka Sri Mumpuni, Organisasi Sosial, 20/11/2015, 8893487, Bekasi@rsbudilestari.co.id, 021-8842336, www.rsbudilestari.co.id, 2,-, 3, 2, 2, 1, 2, 1, 1, 1,  0, 12, 4,-,-,-, 1,-, Ruang, 7 Ruang, 6 Ruang, 41 Ruang, 24 Ruang,-, 3010 m2, 2392.63 m2, 445.1/3141/YANKES/XII/2012, 03/12/2012, DINAS KESEHATAN, Tetap
RSU Duta Indah,3175411,RSU,https://medicalclinic.id/rumah-sakit/daerah/jakarta-utara/rsu-duta-indah.html,  14/04/2015, Jl. Teluk Gong Raya No. 12 Kel. Pejagalan Kec. Penjaringan, Jakarta Utara, 14450, 021-66676188, Belum ditetapkan, dr. Eko Budi Heryanto, Swasta/Lainnya, 19/11/2015, 021-66676190, info@dutaindah.com, 66676188/303, www.rsdutaindah.com, 2,-, 2, 2, 1,-, 4,-, 2,-,  0, 6, 1, 1, 31, 12, 2, 13, Ruang, 4 Ruang, 4 Ruang, 8 Ruang, 10 Ruang, 24, 1790 m2, 5165 m2, 010/2.11/31/-1.77/2015, 05/03/2015, Kepala BPTSP Prov. DKI Jakarta,-
RS Sentral Medika,1509016S,RSU,https://medicalclinic.id/rumah-sakit/daerah/bungo/rs-sentral-medika.html,  15/06/2012, Jl. Rangkayo Hitam RT. 20 RW.07 Kelurahan Jaya Setia, Bungo, 37214, 0747-22207, Belum ditetapkan," dr. Dewi Hayati, Sp.A", Swasta/Lainnya, 18/11/2015, 0747-22209, rs.sentralmedika@Gmail.com,-,-, 1,-, 1, 2, 1,-, 1,-, 1, 1,  0, 2,-,-, 22, 25, 3, 7, Ruang, 13 Ruang, 28 Ruang, 6 Ruang, 2 Ruang, 13, 3060 m2, 1020 m2, 050217500148, 00/00/0000, Pemerintahan Kabupaten Bungo, Sementara
RSU Graha Husada,1871416,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bandar-lampung/rsu-graha-husada.html,  00/00/0000," Jl. MH.Thamrin No.14,Jepara", Jepara, 59411, 0291592067, D," Dr. Henny Dyah Lisiana,M.Kes", Organisasi Sosial, 13/06/2017, 0291597806, graha_husada@ymail.com, 0291592067, -, 2,-, 2, 1, 1,-, 1,-, 1, 1,  0, 11, 1,-, 31, 8, 1, 7, 22 Ruang, 11 Ruang, 16 Ruang, 15 Ruang, 25 Ruang, 48, 7.802 m2, 1.428 m2, 001/445/OPT-RS/11.25/2013, 06/02/2013, BADAN PELAYANAN PERIZINAN TERPADU, Tetap
RSU Selaras,3603047,RSU,https://medicalclinic.id/rumah-sakit/daerah/tangerang/rsu-selaras.html,  05/08/2012, Jl. Raya Lapan Rumpin Suradita, Tangerang, 15343, 021-75791849, D," dr. Muhammad Husein , MARS", Perusahaan, 16/11/2015, 021-75791850, selarashospital@gmail.com, 021-75791850, -, 2,-, 1,-, 3,-, 1,-,-,-,  0, 5, 1,-, 16, 5, 1, 6, Ruang, Ruang, 8 Ruang, 16 Ruang, 32 Ruang, 24, 4500 m2, 1674 m2, 445/T/4464-DINKES/2012, 09/08/2012, Dinkes Kab. Tangerang, Tetap
RSU Islam Bogor,3201218,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bogor/rsu-islam-bogor.html,  20/11/2013," Jl. Perdana Raya Bogor No.22, Kedung Badak Bogor", Kota Bogor, 16710, 0251-8316822, C," Dr. H.M. Djunaidi Ilyas, Sp.PD", Organisasi Sosial, 13/11/2015, 0251-8393339,-, -, www.rsislambogor.or.id, 2,-, 3, 4, 1,-, 2,-, 1, 2,  0, 11, 4,-,-,-, 2,-, 1 Ruang, 16 Ruang, 16 Ruang, 25 Ruang, 76 Ruang, 69, 4.540 m2, 4.291 m2, HK.03.05/1/287/11, 21/01/2011, Dinas KesehatanKota Bogor, Tetap
RSU Islam Al Bashiroh,3507110,RSU,https://medicalclinic.id/rumah-sakit/daerah/malang/rsu-islam-al-bashiroh.html,  18/08/2015, Jl. S.Parman 14 RT 03 RW 08 Tanggung Turen, Malang, 65175, 0341823177, Belum ditetapkan," dr. Rusandri Gandhi Nugroho, S.Ked", Perusahaan, 12/11/2015,-, rsi.albashiroh@gmail.com, 085234377037, www.rsi-albashiroh.blogspot.com, 1,-, 1,-,-,-,-,-,-,-,  0, 8,-,-,-,-, 2,-, Ruang, Ruang, 4 Ruang, 16 Ruang, 17 Ruang, 27, m2, m2,-, 00/00/0000,-,-
RSU Vita Insani,1273055,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-pematang-siantar/rsu-vita-insani.html,  20/12/2013," Jl. Merdeka No.239, Pematang Siantar", Kota Pematang Siantar, 21132, 0622-22520, B," Dr. Alpin Hoza,MM", Perusahaan, 11/11/2015, 0622-24521, vitainsani@yahoo.com, 081262000889,-, 4,-, 4, 5, 2,-, 3, 2, 2, 3,  1, 20, 2,-,-,-, 4,-, 12 Ruang, 24 Ruang, 30 Ruang, 40 Ruang, 120 Ruang, 5, 7169 m2, 23300 m2, YM.02.04.3.5.2048, 03/04/2007, Menkes RI, Tetap
RSUD PASAR MINGGU,3171795,RSU,https://medicalclinic.id/rumah-sakit/daerah/jakarta-selatan/rsud-pasar-minggu.html,  06/11/2015," JL. TB. SIMATUPANG NO. 1 KELURAHAN RAGUNAN, KECAMATAN PASAR MINGGU - JAKARTA SEL More ...", Jakarta Selatan, 12550, 021-78841672, B, Dr. T. Carolina Kawinda MARS, Pemprop, 10/11/2015, 021-78841672, rsud.pasarminggu@yahoo.com, 021-78841672,-, 2,-, 1, 1, 1,-, 2,-, 1, 1,  1, 29, 2,-,-,-, 6,-, Ruang, 7 Ruang, 28 Ruang, 39 Ruang, 338 Ruang,-, 25.087 m2, 43.496 m2, 44/2.5/31/-1.77/2015, 01/09/2015, PTSP PEMPROV . DKI JAKARTA, Perpanjang
RSU Kecamatan Pesanggrahan,3171791,RSU,https://medicalclinic.id/rumah-sakit/daerah/jakarta-selatan/rsu-kecamatan-pesanggrahan.html,  15/06/2015, Jalan Cenek I no. 1 Pesanggrahan, Jakarta Selatan, 12320, (021)7356087, D, drg. Endah Kartika Dewi, Pemprop, 09/11/2015, (021)7356085, rsupesanggrahan@gmail.com,-,-, 1,-, 1,-, 1,-,-,-,-,-,  0, 7,-,-,-,-, 1,-, Ruang, Ruang, Ruang, Ruang, 40 Ruang,-, 2566 m2, 1677 m2, 4/2.11/31/-1.77/2015, 01/04/2015, Kepala BPTSP Provinsi DKI, Tetap
RSU lapangan Minake,7603023,RSU,https://medicalclinic.id/rumah-sakit/daerah/mamasa/rsu-lapangan-minake.html,  00/00/0000, Minake Kecamatan Tandukkalua - Mamasa, Mamasa, 91362, -, Belum ditetapkan," dr. Hajai S. Tanga, M.Kes", Pemkab, 06/11/2015,-, -, -, -,-,-,-,-,-,-,-,-,-,-,  0,-,-,-,-,-,-,-, Ruang, Ruang, Ruang, 50 Ruang, Ruang,-, - m2, - m2, -, 00/00/0000, -,-
RS Ichsan Medical Center,3603082,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-tangerang-selatan/rs-ichsan-medical-center.html,  00/00/0000," Jl.Raya Jombang No.56,Bintaro Jaya, Jombang - Ciputat - Tangerang Selatan", Kota Tangerang Selatan, 15414, 0217456379, C," dr. Vebry Haryati Lubis, MARS.", Swasta/Lainnya, 05/11/2015, 0217450819, imcbintaro@gmail.com / mail@rsimcbintaro.com, 0217456379(305), www.rsimcbintaro.com, 4,-, 4, 3, 3, 1, 2, 1, 1, 2,  1, 10, 3,-, 36, 9, 16, 16, 1 Ruang, 5 Ruang, 6 Ruang, 4 Ruang, 24 Ruang, 52, 19.118 m2, 2.250 m2, 445/Kep.83-Huk/2012, 22/03/2012, Walikota Tangerang Selatan, Tetap
RSIA Siti Hawa,1371455,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kota-padang/rsia-siti-hawa.html,  27/02/2012, Jl Parak Gadang Raya No 35 A Padang, Kota Padang, 25123, (0751) 841251, C," dr. E. Basyaruddin, MARS", Perorangan, 04/11/2015, (0751) 31712, rsiasitihawa@yahoo.com, 082388265195, -, 2,-,-,-,-,-, 1,-,-,-,  0, 3,-,-,-,-, 1,-, 1 Ruang, 5 Ruang, 8 Ruang, 6 Ruang, 12 Ruang, 13, 1238 m2, 1486 m2, 001/IORS/BPMPTSP/IX-2015, 14/09/2015, BPMPTSP, Tetap
RSU Siloam Dhirga Surya,1275911,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-medan/rsu-siloam-dhirga-surya.html,  02/10/2015, Jl. Imam Bonjol No. 6, Kota Medan, 20112, +6261 8888 1900, B," dr. Tuan Juniar Situmorang, MKes", Perusahaan, 03/11/2015, +6261 8888 1944, shmd.info@siloamhospitals.com, +6261 8888 1900, www.siloamhospitals.com,-,-,-,-,-,-,-,-,-,-,  0,-,-,-,-,-,-,-, 1 Ruang, 17 Ruang, 18 Ruang, 5 Ruang, 10 Ruang,-, 2615 m2, 28773 m2, 440.442/14797/IV/2015, 10/04/2015, Dinas Prop. Sumatera Utara, Tetap
RSU Herna Tebing Tinggi,1274056,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-tebing-tinggi/rsu-herna-tebing-tinggi.html,  02/11/2015, Jl. Balai Kota No. 2 Tebing Tinggi, Kota Tebing Tinggi, 0621, 21476, C, dr. Djohan Zen, Organisasi Sosial, 02/11/2015, 21702, rsuherna@yahoo.co.id, 085262238855, -, 2,-, 2, 3, 1,-, 4,-, 2, 2,  0, 8,-,-,-,-, 1,-, 4 Ruang, 4 Ruang, 10 Ruang, 15 Ruang, 38 Ruang, 23, 2475 m2, 1480 m2, 445/520 Tahun 2011, 08/07/2011, Walikota, Tetap
RSU Griya Husada Madiun,3577086,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-madiun/rsu-griya-husada-madiun.html,  14/02/2012, Jl. Mayjen. Panjaitan No. 22, Kota Madiun, 63137, (0351) 472801, D," dr. Achmad Thamrin, Sp.JP", Perusahaan, 02/11/2015, (0351) 475900, rs_griyahusada_madiun@yahoo.com, (0351) 472802, -, 3,-, 3, 3, 2,-, 1, 2, 1, 2,  1, 10,-,-, 46, 9, 1, 11, 2 Ruang, 16 Ruang, 11 Ruang, 5 Ruang, 13 Ruang, 45, 4284 m2, 4974 m2, 503-401.303/005/2014, 02/01/2014, Kantor Pelayanan Perizinan Terpadu, Perpanjang
